매장명,구,주소,위도,경도
스타벅스학동사거리,강남구,서울특별시 강남구 도산대로 328 (논현동),37.52236449999999,127.03795430000002
스타벅스대치사거리,강남구,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817
스타벅스포스코사거리,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.05742710000004
스타벅스을지병원사거리,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446
스타벅스신사역,강남구,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428
스타벅스도곡역,강남구,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398
스타벅스서울세관사거리,강남구,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653
스타벅스청담사거리,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.0468651
스타벅스한티역,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055
스타벅스역삼초교사거리,강남구,서울특별시 강남구 역삼로 123 (역삼동),37.4941059,127.03299730000003
스타벅스코엑스몰,강남구,서울특별시 강남구 영동대로 513 (삼성동) O103호,37.513715,127.059245
스타벅스가로수길,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.02162499999996
스타벅스역삼대로,강남구,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.501623,127.039375
스타벅스역삼포스코,강남구,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.499721,127.033582
스타벅스강남대로,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.50314,127.025546
스타벅스청담,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.05155990000004
스타벅스삼성도심공항,강남구,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.05791339999996
스타벅스삼성교,강남구,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",37.507794,127.06517
스타벅스학동역,강남구,서울특별시 강남구 논현로 704 (논현동),37.51464884,127.0307302
스타벅스대치,강남구,서울특별시 강남구 도곡로 511 (대치동),37.49966175,127.0622171
스타벅스신세계푸드마켓도곡,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",37.490298,127.054895
스타벅스삼성,강남구,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",37.50689645929321,127.0557187245366
스타벅스선릉세화빌딩,강남구,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,37.50377562,127.051196
스타벅스압구정역,강남구,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",37.52674095,127.0281105
스타벅스압구정로,강남구,서울특별시 강남구 압구정로42길 32 (신사동),37.52680046,127.0347174
스타벅스구역삼사거리,강남구,서울특별시 강남구 논현로 401 (역삼동),37.49592355,127.0388645
스타벅스큰길타워,강남구,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",37.50236693,127.0407
